Filename, Line #, TypeChef-Type, .\axtls_2_1_4_ikos.json-Type
tls1.c, 1252, Uninitialized memory, buffer-overflow
asn1.c, 550, Xfree, free
proc.c, 589, Uninitialized memory, ignored-call-side-effect
tls1.c, 1245, Uninitialized memory, buffer-overflow
sha1.c, 126, Uninitialized memory, unknown-memory-access
axhttpd.c, 295, Dead store, unknown-memory-access
hmac.c, 89, Uninitialized memory, unknown-memory-access
crypto_misc.c, 93, Check stdlibfunc return, ignored-call-side-effect
proc.c, 1217, Check stdlibfunc return, ignored-call-side-effect
aes.c, 282, Uninitialized memory, buffer-overflow
asn1.c, 305, Xfree, free
proc.c, 220, Uninitialized memory, ignored-call-side-effect
proc.c, 447, Uninitialized memory, ignored-call-side-effect
proc.c, 458, Uninitialized memory, ignored-call-side-effect
x509.c, 358, Double free, unknown-memory-access
proc.c, 879, Dead store, unknown-memory-access
asn1.c, 315, Xfree, free
aes.c, 450, Uninitialized memory, buffer-overflow
proc.c, 1055, Uninitialized memory, ignored-call-side-effect
proc.c, 104, Check stdlibfunc return, ignored-call-side-effect
p12.c, 127, Xfree, free
proc.c, 1156, Check stdlibfunc return, unknown-memory-access
bigint.c, 149, Double free, unknown-memory-access
p12.c, 423, Xfree, free
tls1.c, 1250, Uninitialized memory, buffer-overflow
proc.c, 1076, Uninitialized memory, unknown-memory-access
asn1.c, 518, Xfree, free
proc.c, 489, Uninitialized memory, ignored-call-side-effect
loader.c, 327, Check stdlibfunc return, ignored-call-side-effect
aes.c, 394, Uninitialized memory, buffer-overflow
proc.c, 422, Uninitialized memory, ignored-call-side-effect
bigint.c, 150, Xfree, ignored-free
hmac.c, 121, Uninitialized memory, unknown-memory-access
axssl.c, 347, Uninitialized memory, unreachable
asn1.c, 498, Xfree, free
tls1_svr.c, 400, Uninitialized memory, unknown-memory-access
asn1.c, 303, Xfree, free
loader.c, 274, Uninitialized memory, unreachable
loader.c, 287, Uninitialized memory, unreachable
aes.c, 339, Uninitialized memory, null-pointer-deref
loader.c, 237, Check stdlibfunc return, unreachable
asn1.c, 551, Xfree, free
hmac.c, 56, Uninitialized memory, unknown-memory-access
axssl.c, 276, Uninitialized memory, unreachable
loader.c, 313, Check stdlibfunc return, ignored-call-side-effect
hmac.c, 122, Uninitialized memory, unknown-memory-access
tdate_parse.c, 92, Check stdlibfunc return, ignored-call-side-effect
htpasswd.c, 51, Dead store, buffer-overflow
tls1.c, 256, Dead store, unknown-memory-access
sha1.c, 125, Uninitialized memory, null-pointer-deref
asn1.c, 306, Xfree, free
axhttpd.c, 389, Dead store, signed-int-overflow
htpasswd.c, 140, Uninitialized memory, buffer-overflow
proc.c, 1046, Uninitialized memory, ignored-call-side-effect
proc.c, 1150, Uninitialized memory, ignored-call-side-effect
p12.c, 476, Xfree, free
proc.c, 1072, Check stdlibfunc return, ignored-call-side-effect
tls1.c, 1247, Uninitialized memory, buffer-overflow
gen_cert.c, 360, Uninitialized memory, null-pointer-deref
loader.c, 280, Uninitialized memory, unreachable
proc.c, 1219, Check stdlibfunc return, ignored-call-side-effect
proc.c, 1129, Check stdlibfunc return, ignored-call-side-effect
